  STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24
  260,20180215,  192,   33,   45,   70,    1,   30,   17,  120,    1,   43,    5,    3,   99,   15,  -18,   24,   21,   21,  252,   38,   35,   12,    3,10113,10182,   24,10076,    4,   17,   12,   75,   16,    5,   88,   98,    9,   74,    1,    3
  260,20180216,  256,   19,   25,   40,    1,   10,   18,   90,   13,   32,  -21,   22,   87,   14,  -50,   24,   87,   87,  830,    0,    0,    0,    1,10244,10267,   19,10189,    1,   63,   23,   81,   16,    4,   79,   97,   22,   53,   14,   10
  260,20180217,  112,   18,   19,   30,   12,   10,    1,   50,   11,    9,  -36,   24,   76,   14,  -75,   24,   65,   65,  686,    0,    0,    0,    1,10242,10259,   23,10232,    7,   56,   22,   74,   12,    5,   82,   97,    1,   51,   14,    8
  260,20180218,  159,   22,   23,   30,   10,   20,    1,   60,   15,    7,  -49,    5,   73,   15,  -83,    6,   85,   84,  840,    0,    0,    0,    1,10248,10261,   10,10226,   24,   39,   23,   63,   15,    3,   87,   98,   23,   68,   15,    9
  260,20180219,  146,   23,   25,   40,   10,   10,   24,   70,   10,   12,  -25,   24,   34,   15,  -50,    6,    0,    0,  326,    0,   -1,   -1,    1,10193,10220,    1,10179,   16,   50,    1,   61,   15,    7,   84,   94,   24,   77,   15,    4
  260,20180220,   44,   20,   23,   40,   11,   10,    1,   50,   11,    8,  -38,    4,   46,   14,  -64,    6,   12,   12,  439,    0,    0,    0,    1,10205,10249,   23,10184,    1,   33,    3,   64,   12,    5,   82,   97,    2,   64,   13,    5
  260,20180221,   35,   27,   28,   40,   12,   10,    8,   80,   16,    3,  -39,    8,   47,   15,  -63,   12,   92,   89,  929,    0,    0,    0,    1,10261,10272,   11,10248,    1,   29,    7,   65,   15,    1,   77,   94,    5,   57,   14,   10
  260,20180222,   56,   39,   40,   70,   14,   20,   23,  120,   14,    2,  -30,    7,   50,   13,  -49,   24,   89,   86,  989,    0,    0,    0,    1,10253,10264,    8,10243,   15,   58,   24,   81,   14,    0,   71,   89,   23,   47,   13,   11
  260,20180223,   71,   48,   49,   80,   11,   20,    4,  130,   11,   -5,  -38,    7,   35,   15,  -55,    6,   85,   81, 1068,    0,    0,    0,    1,10236,10248,    9,10219,   16,   29,    5,   83,   17,    3,   71,   94,    3,   49,   16,   11
  260,20180224,   78,   66,   66,   80,   11,   50,    1,  140,   10,   -4,  -34,    5,   33,   13,  -42,    6,   93,   88, 1013,    0,    0,    0,    1,10266,10294,   24,10237,    2,   75,    8,   83,   17,    2,   55,   61,    1,   44,   11,   11
  260,20180225,   72,   55,   57,   70,   10,   40,    7,  110,    1,  -22,  -49,   24,   11,   14,  -58,   24,   97,   92, 1140,    0,    0,    0,    1,10308,10320,    9,10292,    2,   70,   23,   83,    1,    1,   56,   83,   24,   35,   12,   11
